Pincode,Place,Latitude,Longitude,District,State
855117,Maria,26.7195,82.2981,KISHANGANJ,BIHAR
855116,Pathamari,26.3995,88.0684,KISHANGANJ,BIHAR
855115,Modho,26.4742,85.1173,KISHANGANJ,BIHAR
855114,Dandkhora,26.7653,84.404,KATIHAR,BIHAR
855113,Balia Belon,28.2704,82.7749,KATIHAR,BIHAR
855108,Padampur,26.5375,79.9232,KISHANGANJ,BIHAR
855107,Kishanganj,25.6844,86.9509,KISHANGANJ,BIHAR
855106,Galgalia,26.0876,83.6903,KISHANGANJ,BIHAR
855105,Sagrath,26.5835,80.1777,KATIHAR,BIHAR
855102,Dasgram,24.8486,92.2791,KATIHAR,BIHAR
855101,Bairia,23.8095,83.7987,KISHANGANJ,BIHAR
854340,Basantpur,26.1701,84.664,SUPAUL,BIHAR
854339,Balbhadrapur,26.9397,79.0846,SUPAUL,BIHAR
854338,Saheban,26.1643,82.8205,SUPAUL,BIHAR
854337,Rautara,25.6601,87.5356,PURNIA,BIHAR
854336,Aghra,25.9887,84.3057,ARARIA,BIHAR
854335,Rajganj,26.5561,88.5086,ARARIA,BIHAR
854334,Pachira,26.2948,85.2062,PURNIA,BIHAR
854333,Dharhmagtanj,24.8789,84.9895,ARARIA,BIHAR
854332,Kuari,26.4115,87.4364,ARARIA,BIHAR
854331,Haldarhat,34.3333,73.8958,ARARIA,BIHAR
854330,Gurhi,26.976999999999997,79.0215,PURNIA,BIHAR
854329,Dalmalpur,26.0646,87.65799999999999,ARARIA,BIHAR
854328,Jogbani,26.4167,87.25,ARARIA,BIHAR
854327,Ahilgaon,25.9664,87.53200000000002,PURNIA,BIHAR
854326,Siarkhan,26.8714,83.7851,PURNIA,BIHAR
854325,Chainpur,25.0345,83.5062,ARARIA,BIHAR
854318,Shankarpur,26.0313,86.8705,ARARIA,BIHAR
854317,Mahishal,25.066,78.1565,KATIHAR,BIHAR
854316,Bathnaha,26.6433,85.5747,ARARIA,BIHAR
